designation phot_g_mean_mag phot_bp_mean_mag phot_rp_mean_mag ra dec Sector_17_x Sector_17_y Sector_18_x Sector_18_y Sector_24_x Sector_24_y
"Gaia DR2 2015657190297795584" 13.9157743 14.2807417 13.3712425 351.43711770329213 61.59462973240706 3.548251663743174 -1.0913074718770766 0.19992473490307727 0.9196629126664639 2.1057619069656983 -0.34192771000366307
"Gaia DR2 2015657568254884864" 13.9353151 14.25848 13.4315434 351.46576981406525 61.6304174815314 9.43280897448648 2.0119917663179594 7.293303591991281 1.7037039962873282 8.42731288546008 1.5302749262462942
"Gaia DR2 2015669250566149248" 13.9436779 14.3439522 13.3695726 351.38337088335925 61.63284998327197 4.595328429872813 7.014750342131965 4.74685784514598 8.201256194887145 4.698938425574004 7.10311968339885
"Gaia DR2 2015657636974356480" 13.9567146 14.3617744 13.353528 351.43594577739697 61.62672554987233 7.156707453508989 3.217688965216258 5.5958894932844965 3.6753124570205973 6.449876526100061 3.071381475932288
"Gaia DR2 2015670246998223360" 13.95726 14.3442278 13.3850327 351.3300543337922 61.685888956148396 7.38254112459447 17.047410118864416 11.830113861277663 16.66861957076209 9.357591461220892 16.051689444284385
"Gaia DR2 2015668872608777472" 13.9864941 14.3366776 13.4565964 351.35428018231823 61.62290746167421 1.6483623998216874 7.356276209181278 2.018831219360962 9.600921104189695 1.9016089684783104 7.950265981978834
"Gaia DR2 2015669113126918400" 14.0132227 14.3461437 13.5037832 351.3071744643178 61.63066028519359 -0.38254052663417504 11.060400610414495 1.6471847567191649 13.84516996395578 0.6480961064793593 11.799892199464791
"Gaia DR2 2015669147486659584" 14.0248909 14.3528385 13.5018387 351.34926744883035 61.63954893818848 3.248953140781939 9.838474825341232 4.660542103221321 11.362986967789606 3.939481034671511 10.001767557018708
"Gaia DR2 2015669388004847744" 14.0401125 14.5915537 13.3338137 351.43819452943796 61.64938105037551 9.89482555223113 6.084582483024445 9.51522506159045 5.385474779378079 9.667919699316691 5.282188574696155
"Gaia DR2 2015669250565911680" 14.116765 14.4642725 13.5861874 351.39640930128934 61.62566599782302 4.57997666114865 5.324558273446309 3.9969010899897572 6.608810770367219 4.355475924058885 5.514553622792363
"Gaia DR2 2015657598317924992" 14.2174959 14.6334238 13.6206236 351.49221099960243 61.64019885320246 12.196734361416109 1.8050199494977983 9.90117411930611 0.49813726083803367 11.072927562893291 0.8424562558204105
"Gaia DR2 2015670246998554752" 14.2767315 14.6691418 13.70574 351.3120756218187 61.67744155410788 5.298673278703315 16.95419011532026 9.755511335113557 17.341880819859654 7.314471143396549 16.335588815848148
"Gaia DR2 2015669181846387840" 14.3406248 14.7027636 13.7959013 351.2991791492591 61.63421846914069 -0.46911751430834947 11.985001971451071 1.9647352863097405 14.751001893172266 0.7436915486583615 12.685839246938944
"Gaia DR2 2015669456724312832" 14.4086113 14.8172054 13.820837 351.428456733958 61.65643703218218 10.099847903261338 7.569957078932388 10.361255659205955 6.714966476772458 10.155881684588877 6.644091975639553
"Gaia DR2 2015669937760605696" 14.4196148 14.8489456 13.7944412 351.2968020203344 61.654661226113994 1.7339874656632732 14.817178406023084 5.346747352361993 16.623821839674022 3.435086891287181 14.959381833976051
"Gaia DR2 2015669250565911424" 14.5005016 14.9009171 13.9204788 351.3709905218308 61.61902599644325 2.239710128990792 5.89307498154687 1.9597805408121154 8.001417892083463 2.1918302397910105 6.467203179124282
"Gaia DR2 2015669147486661504" 14.5087223 15.558547 13.4888058 351.3386145448903 61.63533976424299 2.104746949708793 9.888759793514332 3.565547069924989 11.828598560503318 2.8373724385121806 10.253183819053149
"Gaia DR2 2015669697242460288" 14.5481777 15.611764 13.5153694 351.46963561615877 61.6817588715165 15.558283245044262 8.58187769845165 16.12927052652754 5.677331925954176 15.656820038708616 6.623276489368735
